county,FIRE_YEAR,fire_count
Sacramento,2007,103
Sacramento,2008,139
Sacramento,2009,118
Sacramento,2010,205
Sacramento,2011,150
Sacramento,2012,32
Sacramento,2013,140
Sacramento,2014,85
Sacramento,2015,39
Sacramento,2016,104
Sacramento,2017,102
Sacramento,2018,140
Sacramento,2019,103
Sacramento,2020,96
San Benito,1992,71
San Benito,1993,34
San Benito,1994,39
San Benito,1995,47
San Benito,1996,60
San Benito,1997,46
San Benito,1998,55
San Benito,1999,36
San Benito,2000,38
San Benito,2001,56
San Benito,2002,49
San Benito,2003,63
San Benito,2004,73
San Benito,2005,43
San Benito,2006,49
San Benito,2007,56
San Benito,2008,46
San Benito,2009,35
San Benito,2010,33
San Benito,2011,39
San Benito,2012,43
San Benito,2013,25
San Benito,2014,10
San Benito,2015,20
San Benito,2016,27
San Benito,2017,26
San Benito,2018,29
San Benito,2019,9
San Benito,2020,13
San Bernardino,1992,581
San Bernardino,1993,566
San Bernardino,1994,455
San Bernardino,1995,494
San Bernardino,1996,551
San Bernardino,1997,362
San Bernardino,1998,427
San Bernardino,1999,353
San Bernardino,2000,340
San Bernardino,2001,291
San Bernardino,2002,231
San Bernardino,2003,300
San Bernardino,2004,184
San Bernardino,2005,397
San Bernardino,2006,696
San Bernardino,2007,538
San Bernardino,2008,518
San Bernardino,2009,695
San Bernardino,2010,373
San Bernardino,2011,431
San Bernardino,2012,355
San Bernardino,2013,296
San Bernardino,2014,256
San Bernardino,2015,246
San Bernardino,2016,225
San Bernardino,2017,294
San Bernardino,2018,539
San Bernardino,2019,501
San Bernardino,2020,853
San Diego,1992,419
San Diego,1993,501
San Diego,1994,442
San Diego,1995,546
San Diego,1996,993
San Diego,1997,705
San Diego,1998,393
San Diego,1999,496
San Diego,2000,305
San Diego,2001,408
San Diego,2002,402
San Diego,2003,282
San Diego,2004,251
San Diego,2005,698
San Diego,2006,539
San Diego,2007,561
San Diego,2008,435
San Diego,2009,460
San Diego,2010,385
San Diego,2011,446
San Diego,2012,265
San Diego,2013,292
San Diego,2014,265
San Diego,2015,214
San Diego,2016,283
San Diego,2017,373
San Diego,2018,309
San Diego,2019,154
San Diego,2020,406
San Francisco,1992,1
San Francisco,1993,2
San Francisco,1994,7
San Francisco,1995,2
San Francisco,1996,2
San Francisco,1997,5
San Francisco,1998,3
San Francisco,1999,7
San Francisco,2000,2
San Francisco,2001,3
San Francisco,2003,2
San Francisco,2004,4
San Francisco,2005,25
San Francisco,2006,26
San Francisco,2007,16
